[subject]	object	i
od:Krachtens_amvb	Doen and Nalaten	[Doen, Nalaten]
od:Vergunninghouder	Hinderhandeling and Inbreukhandeling and Nalaten	[Hinderhandeling, Inbreukhandeling, Nalaten]
od:Veroudering_van_gegevens	Nalaten and Werkhandeling	[Nalaten, Werkhandeling]
od:Medebezitter	Gevaarshandeling and Nalaten	[Gevaarshandeling, Nalaten]
od:Legaal_storten	Inbreukhandeling and Nalaten and Werkhandeling	[Inbreukhandeling, Nalaten, Werkhandeling]
od:Aanbieder	Gevaarshandeling and Inbreukhandeling and Nalaten and Werkhandeling and Zorgplicht	[Gevaarshandeling, Inbreukhandeling, Nalaten, Werkhandeling, Zorgplicht]
od:Presentatie_van_het_product	Inbreukhandeling and Nalaten and Werkhandeling	[Inbreukhandeling, Nalaten, Werkhandeling]
Werkhandeling	od:Betalingsvoorwaarden	
Werkhandeling	od:Opgedragen_taak	
Werkhandeling	od:Werkzaamheden_met_een_incidenteel_karakter	
od:Krachtens_wet	Doen and Nalaten	[Doen, Nalaten]
od:Zoeken_van_de_publiciteit	Inbreukhandeling and Werkhandeling	[Inbreukhandeling, Werkhandeling]
od:Verklaring_of_beoordeling	Inbreukhandeling and Werkhandeling	[Inbreukhandeling, Werkhandeling]
od:Fabrikant_van_een_eindproduct	Nalaten and Werkhandeling	[Nalaten, Werkhandeling]
od:Kans_dat_anderen_niet_goed_opletten	Gevaarshandeling and Nalaten and Verkeershandeling	[Gevaarshandeling, Nalaten, Verkeershandeling]
od:Ieder_die_zich_als_producent_presenteert	Inbreukhandeling and Werkhandeling	[Inbreukhandeling, Werkhandeling]
od:Tijdstip_waarop_het_product_in_het_verkeer_is_gebracht	Nalaten and Werkhandeling	[Nalaten, Werkhandeling]
od:Productenaansprakelijkheid	(heeft_handeling some Gevaarshandeling) or (heeft_handeling some Inbreukhandeling) or (heeft_handeling some Nalaten) or (heeft_handeling some Wanprestatie)	
od:Hulpmiddel	Inbreukhandeling and Nalaten and Werkhandeling	[Inbreukhandeling, Nalaten, Werkhandeling]
Algemene_handeling	od:Goed_houden_voor_een_ander	
od:Aard_van_de_schade	Doen and Nalaten	[Doen, Nalaten]
od:Verzekerbaarheid_van_de_schade	Doen and Nalaten	[Doen, Nalaten]
od:Uitvoerbaareid_overeenkomst	Nalaten and Wanprestatie	[Nalaten, Wanprestatie]
od:Gevaarlijke_toestand	Gevaarshandeling and Nalaten	[Gevaarshandeling, Nalaten]
Algemene_handeling	od:Luchtvaartuigen	
Inbreukhandeling	od:Recht_op_vrijheid_van_meningsuiting	
od:Opdracht	Werkhandeling and Zorgplicht	[Werkhandeling, Zorgplicht]
od:Tolerantiegrenzen	Nalaten and Werkhandeling	[Nalaten, Werkhandeling]
od:Beoordeling_rangorde_grondrechten	Hinderhandeling and Inbreukhandeling	[Hinderhandeling, Inbreukhandeling]
od:Stoffelijke_objecten	Algemene_handeling and Beslag_gelegd	[Algemene_handeling, Beslag_gelegd]
od:Omvang_van_de_voorraad	Nalaten and Werkhandeling	[Nalaten, Werkhandeling]
od:Stand_van_techniek_en_ontwikkelingsrisico	Nalaten and Werkhandeling	[Nalaten, Werkhandeling]
od:Onmiddelijk_gevaar	Gevaarshandeling and Nalaten and Verkeershandeling	[Gevaarshandeling, Nalaten, Verkeershandeling]
od:Onjuistheid_van_de_gegevens	Nalaten and Werkhandeling	[Nalaten, Werkhandeling]
od:Dier_als_instrument	Gevaarshandeling and Hinderhandeling and Nalaten	[Gevaarshandeling, Hinderhandeling, Nalaten]
od:Doel_te_bereiken_via_andere_weg	Inbreukhandeling and Nalaten and Werkhandeling	[Inbreukhandeling, Nalaten, Werkhandeling]
od:Garantie	Nalaten and Werkhandeling	[Nalaten, Werkhandeling]
od:Aansprakelijkheid_voor_niet-ondergeschikten	heeft_handeling some Werkhandeling	
Algemene_handeling	od:Goed_houden_voor_zichzelf	
od:Verkeersopvatting	Doen and Nalaten	[Doen, Nalaten]
od:Aanwijzingsbevoegdheid	Inbreukhandeling and Nalaten and Werkhandeling	[Inbreukhandeling, Nalaten, Werkhandeling]
od:Aansprakelijkheid_voor_kinderen	(heeft_handeling some Gevaarshandeling) or (heeft_handeling some Hinderhandeling) or (heeft_handeling some Inbreukhandeling)	
od:Exploitant_stortplaats_zonder_vergunning	Nalaten and Werkhandeling	[Nalaten, Werkhandeling]
od:Voortbestaan_niet_bekende_misstanden	Inbreukhandeling and Nalaten and Werkhandeling	[Inbreukhandeling, Nalaten, Werkhandeling]
od:Bekendwording_20_jaar_na_sluiting	Nalaten and Werkhandeling	[Nalaten, Werkhandeling]
od:Kans_dat_daardoor_ongevallen_ontstaan	Gevaarshandeling and Nalaten and Verkeershandeling	[Gevaarshandeling, Nalaten, Verkeershandeling]
od:Maatschappelijke_betamelijkheid	Doen and Nalaten	[Doen, Nalaten]
Werkhandeling	od:Producent_van_een_grondstof	
od:Onnodig_grievend	Inbreukhandeling and Werkhandeling	[Inbreukhandeling, Werkhandeling]
od:Onrechtmatige_daad	(od:heeft_vereiste some od:Causaliteit_vestigingsfase) and (od:heeft_vereiste some od:Onrechtmatigheid) and (od:heeft_vereiste some od:Pleger_onrechtmatige_daad) and (od:heeft_vereiste some od:Relativiteit) and (od:heeft_vereiste some od:Schade) and (od:heeft_vereiste some od:Toerekening_vestigingsfase)	[od:heeft_vereiste some od:Causaliteit_vestigingsfase, od:heeft_vereiste some od:Onrechtmatigheid, od:heeft_vereiste some od:Pleger_onrechtmatige_daad, od:heeft_vereiste some od:Relativiteit, od:heeft_vereiste some od:Schade, od:heeft_vereiste some od:Toerekening_vestigingsfase]
od:Relativiteit	not od:Correctie_langemeijer and (od:heeft_vereiste some od:Norm_ter_bescherming_schade)	[not od:Correctie_langemeijer, od:heeft_vereiste some od:Norm_ter_bescherming_schade]
od:Groep	(od:heeft_deelnemer some od:Groepsdeelnemer) and (od:heeft_deelnemer min 2)	[od:heeft_deelnemer some od:Groepsdeelnemer, od:heeft_deelnemer min 2]
od:Doen_in_strijd_met_recht	(od:voldoet_aan some od:Handelen_in_strijd_met_een_wettelijke_plicht) or (od:voldoet_aan some od:Handelen_in_strijd_met_hetgeen_in_het_maatschappelijk_verkeer_betaamt) or (od:voldoet_aan some od:Inbreuk_op_een_recht)	
od:Toerekening_krachtens_wet	((od:Persoon and (od:heeft_toestand some od:Lichamelijke_tekortkoming)) or (od:heeft_toestand some od:Geestelijke_tekortkoming)) and not od:Kind_jonger_dan_14_jaar	[(od:Persoon and (od:heeft_toestand some od:Lichamelijke_tekortkoming)) or (od:heeft_toestand some od:Geestelijke_tekortkoming), not od:Kind_jonger_dan_14_jaar]
od:Relativiteit	not od:Norm_ter_bescherming_schade and (od:heeft_vereiste some od:Correctie_langemeijer)	[not od:Norm_ter_bescherming_schade, od:heeft_vereiste some od:Correctie_langemeijer]
od:Nalaten_in_strijd_met_recht	(od:voldoet_aan some od:Handelen_in_strijd_met_een_wettelijke_plicht) or (od:voldoet_aan some od:Handelen_in_strijd_met_hetgeen_in_het_maatschappelijk_verkeer_betaamt)	
od:Inbreukcriterium	(((od:heeft_vereiste some od:Onbevoegd_uitoefenen_bevoegdheden) or (od:heeft_vereiste some od:Verhindering_in_de_uitoefening_van_bevoegdheden)) and not (od:heeft_vereiste some od:Onbevoegd_uitoefenen_bevoegdheden) and (od:heeft_vereiste some od:Verhindering_in_de_uitoefening_van_bevoegdheden)) and (od:heeft_vereiste some od:Subjectief_recht)	[((od:heeft_vereiste some od:Onbevoegd_uitoefenen_bevoegdheden) or (od:heeft_vereiste some od:Verhindering_in_de_uitoefening_van_bevoegdheden)) and not (od:heeft_vereiste some od:Onbevoegd_uitoefenen_bevoegdheden) and (od:heeft_vereiste some od:Verhindering_in_de_uitoefening_van_bevoegdheden), od:heeft_vereiste some od:Subjectief_recht]
od:Toerekening_vestigingsfase	(not od:betreft_persoon some od:Kind_jonger_dan_14_jaar and (od:betreft_persoon some od:Kind_16_jaar_en_ouder) and (od:betreft_persoon some od:Kind_tussen_de_14_en_16_jaar) and (od:betreft_persoon some od:Volwassene)) and (od:heeft_vereiste some od:Onrechtmatigheid)	[not od:betreft_persoon some od:Kind_jonger_dan_14_jaar and (od:betreft_persoon some od:Kind_16_jaar_en_ouder) and (od:betreft_persoon some od:Kind_tussen_de_14_en_16_jaar) and (od:betreft_persoon some od:Volwassene), od:heeft_vereiste some od:Onrechtmatigheid]
od:Aansprakeljkheid	(od:heeft_relatie_met some od:Wetsbepaling) and (od:heeft_vereiste some od:Toerekening_omvangsfase)	[od:heeft_relatie_met some od:Wetsbepaling, od:heeft_vereiste some od:Toerekening_omvangsfase]
